Content type,Views,Average view duration,Average percentage viewed (%),Watch time (hours)
Total,642263519,0:03:09,34.88,29801774.2388
Videos,418676602,0:03:50,44.28,26739942.2376
Shorts,218512720,0:00:28,70.11,1123803.0048
Live stream,5074197,0:22:54,8.27,1938028.9964
