"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves,Views
18043275502990195,17841407868310918,kan_news,"כאן חדשות","טריק או ממתק? לשר השיכון יש גם וגם #מביאהתסעיף",113,"12/24/2024 06:21",https://www.instagram.com/reel/DD9tkg_CX7d/,"IG reel",,Lifetime,31676,1021,239,1,73,52,49568
17974909436799888,17841407868310918,kan_news,"כאן חדשות","שלושה עובדים זרים נעצרו בחשד למעורבות בהיעלמותו של דוד קילברג, בן ה-84 מאשדוד, אשר נעדר מיום רביעי.  דוד, אינו מסוגל ללכת לבדו והוא מתנייד עם הליכון למרחקים קצרים. אולם, בחיפוש שנערך בביתו נמצא כי ההליכון נותר שם ביחד כל חפציו.

תחילה, המשטרה עצרה את המטפלת של קילברג ובן זוגה שעובד בבאר שבע, ובהמשך עצרו עובדת זרה נוספת, חברתה של המטפלת, שחשודה כי קיבלה מידע על אודות היעלמותו. השלושה חשודים בקשירת קשר לפשע ושיבוש חקירה. מעצרם הוארך עד ליום חמישי. 

ג'וד קוטלר, בת משפחתו של דוד, סיפרה: ""העובדת הזרה שלו טוענת שהיא השכיבה אותו לישון בתשע וחצי בבוקר וכשהיא התעוררה הוא לא היה. אבל אין שום אפשרות שהוא הלך ברגל, הוא לא הולך. שכן שעבר בחמש בבוקר סיפר שראה את הדלת פתוחה, היא הכחישה. סביר להניח שהוא לא בין החיים וחשוב למשפחה להביא אותו לקבורה בכבוד"".

@asaf_pozailov",0,"12/24/2024 05:44",https://www.instagram.com/p/DD9pYCZRA4i/,"IG image",,Lifetime,56126,1834,109,0,53,51,79895
17906845242076937,17841407868310918,kan_news,"כאן חדשות","המע""מ הולך להתייקר ב-1%, מחירי הכבודה יעלו ב-11%-33%
@sharon_idan 

צילום: פלאש90",0,"12/24/2024 01:35",https://www.instagram.com/p/DD9M8LvsFdD/,"IG carousel",,Lifetime,48377,1164,410,0,30,39,84487
17906162925079801,17841407868310918,kan_news,"כאן חדשות","בישראל הופתעו: אנשי המנגנונים הפלסטינים משתמשים ב-RPG בג'נין
@itayblumental",0,"12/24/2024 00:46",https://www.instagram.com/p/DD9HRaBM_Gx/,"IG carousel",,Lifetime,44749,1312,44,1,48,69,77201
18292729717238309,17841407868310918,kan_news,"כאן חדשות","מצמרר: ההקלטות של התצפיתנית שי אשרם שנפלה בנחל עוז - לפני 7 באוקטובר | ההקלטות המלאות במהדורה בכאן 11
@shanywmn",29,"12/23/2024 23:42",https://www.instagram.com/reel/DD8_6NEInnJ/,"IG reel",,Lifetime,85240,2818,254,7,164,195,144238
18033448316598675,17841407868310918,kan_news,"כאן חדשות","יהי זכרה ברוך 🕯️

הודעת דוברות קיבוץ ניר עוז:

בצער כבד, אנו מודיעים על פטירתה של חברת קיבוץ ניר עוז חנה קציר ז״ל, לאחר חודשים ארוכים של מאבק ומצב רפואי מורכב איתו התמודדה לאחר שחרורה מן השבי. 

*ההלוויה תתקיים היום בקיבוץ ניר עוז ולבקשת המשפחה אינה פתוחה לסיקור תקשורתי*

אנו משתתפים בצערה של המשפחה ומבקשים מן התקשורת לגלות רגישות בשעות קשות אלו, לכבד את הבקשה *ולא להתקשר למשפחה*.",0,"12/23/2024 23:20",https://www.instagram.com/p/DD89a42oB9c/,"IG image",,Lifetime,89322,5068,120,3,143,43,118939
18027613001273868,17841407868310918,kan_news,"כאן חדשות","אחותה של התצפיתנית שי אשרם ז״ל: ״שמעתי אותה צוחקת וזו הייתה סגירת המעגל שרצינו. הדבר הכי חשוב זה להחזיר את החברות של שי מהשבי״
@anna.pines",92,"12/23/2024 14:34",https://www.instagram.com/reel/DD8ANDuoGvy/,"IG reel",,Lifetime,40417,1858,92,5,64,66,63546
18349110742120876,17841407868310918,kan_news,"כאן חדשות","""השעות הקריטיות לא קיימות בהקלטה""👇

משפחותיהן של התצפיתניות שנפלו ב-7 באוקטובר במוצב נחל עוז קיבלו הערב מצה""ל את הקלטות הקשר של בנותיהן. זאת, לאחר מאבק ארוך של המשפחות.

כעת נמסר מטעם המשפחות כי ההקלטות שקיבלו מצה""ל מסתיימות בשעה 04:48 לפנות בוקר ב-7 באוקטובר. בני משפחה ששוחחו עם כאן חדשות פנו לקצינות הנפגעים המלוות אותן וביקשו להבין מדוע לא הועברו הקלטות מהשעות הקריטיות שטרם הטבח. ""הכנו את עצמנו נפשית, חיכינו לרגע הזה יותר משנה ולבסוף השעות הקריטיות לא קיימות בהקלטה שהועברה. אם זאת לא טעות, זה מפח נפש רציני"", אמרו.",0,"12/23/2024 13:39",https://www.instagram.com/p/DD76_SmJHKX/,"IG carousel",,Lifetime,60216,3803,110,1,112,137,106742
17999949101536686,17841407868310918,kan_news,"כאן חדשות","הותרו לפרסום שמותיהם של שלושה לוחמים מגדוד 92 (שמשון) שנהרגו הבוקר מפיצוץ מטען מערבית לבית חאנון, בצפון רצועת עזה: סרן איליי גבריאל אטדגי, בן 22 מקרית מוצקין, סמ""ר נתנאל פסח, בן 21 מאלעזר, רס""ל במיל' הלל דינר, בן 21 מטלמון. יהי זכרם ברוך",0,"12/23/2024 10:25",https://www.instagram.com/p/DD7kyswN5Ez/,"IG carousel",,Lifetime,66333,3144,185,1,323,31,105265
17872764903166861,17841407868310918,kan_news,"כאן חדשות","כמה כסף יישאר לניר, אב לחמישה שעובד בשלוש עבודות, אחרי שנת הגזרות הכלכליות? 
הפרק השני בסדרת הכתבות #ישראלמתייקרת - הערב במהדורת כאן חדשות 

@dana_yarkechy",69,"12/23/2024 09:31",https://www.instagram.com/reel/DD7ekFdqBjE/,"IG reel",,Lifetime,22631,490,54,1,35,26,35261
