date,post_type,category_code,category
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG carousel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG carousel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG carousel,N,סיקור שוטף
2025-10-13,IG image,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG carousel,F,תיעוד
2025-10-13,IG carousel,F,תיעוד
2025-10-13,IG carousel,N,סיקור שוטף
2025-10-13,IG image,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
2025-10-13,IG reel,F,תיעוד
