"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18043532209934465,17841407868310918,kan_news,"כאן חדשות","“אבא שלי הוצא להורג באיראן כנקמה על התקיפה הישראלית”: בתו של האזרח הגרמני, שנחטף ונרצח בידי משטר האייתוללות, מדברת לראשונה
Dov Gil-Har @freejamshidsharmahd",354,"11/10/2024 09:35",https://www.instagram.com/reel/DCMv9o7Ii7f/,"IG reel",,Lifetime,112102,63833,3695,279,3,91,267
18045890765020543,17841407868310918,kan_news,"כאן חדשות","במשפט הראשון נטען שהקשישה לא העידה באופן ""קוהרנטי ועקבי"" 👇

לפני כשנתיים זוכה עאדל הייב בן ה-44 מאונס אישה בת 82, אחרי שבית המשפט המחוזי בנצרת העדיף את גרסתו על פני גרסתה של הקשישה - וקבע שהמתלוננת לא העידה באופן ""קוהרנטי ועקבי"". בצעד חריג, פרקליטות המדינה ערערה על ההחלטה, והיום הצדק נעשה והייב הורשע באונס. 

המתלוננת סיפרה שהייב פנה אליה פעמים רבות, יזם שיחות עם תוכן מיני בוטה וחשף בפניה את איבר מינו. לאחר שהוא לחץ עליה להיפגש, היא הסכימה שיגיע לביתה כדי לבחון עבודת שיפוץ נקודתית - אז הוא אנס אותה בכוחניות וגרם לפציעתה. 

במשפט הראשון, שנערך לפני כשנתיים, השופטים קיבלו פה אחד את גרסתו של הייב, לפיה יחסי המין עם הקשישה היו בהסכמה. בשל כך הוא הורשע רק בהפרת צו פיקוח שהופעל נגדו לאחר שהורשע כבר בעבר כעבריין מין, והוטלו עליו 11 חודשי מאסר בלבד

@chen_beyar
צילום: שב""ס",0,"11/10/2024 06:14",https://www.instagram.com/p/DCMZ1A3qlqj/,"IG image",,Lifetime,100521,76127,2912,191,0,144,68
18256302568256393,17841407868310918,kan_news,"כאן חדשות","נמסנו 😍👇

חיילי מילואים בצנחנים תיעדו הבוקר את כלבת הים מאיה בראש הנקרה. מאיה היא כלבת ים נזירית שנצפתה בישראל כבר בשנת 2010 ושבה לחופינו במספר הזדמנויות נוספות. 

ד""ר מיה אלסר, המובילה את חקר כלבי הים בארץ ואת פרויקט דלפיס לחזרתם של כלבי הים הנזיריים הים-תיכוניים לישראל, אמרה: ""זוהי הפעם הראשונה בה מתועד שימוש של כלב ים נזירי במערות ראש הנקרה. מערות אלו עמוסות לרוב בתיירים, אך נראה כי הכרזת השטח כסגור בגלל המלחמה יצרה מרחב מוגן ושקט""

@wassermanmichal
צילום: אבינועם ברדס",0,"11/10/2024 05:07",https://www.instagram.com/p/DCMSMi_qvW_/,"IG image",,Lifetime,64475,48608,2112,301,0,18,29
18069274195563042,17841407868310918,kan_news,"כאן חדשות","נתניהו לוקח אחריות על מבצע הביפרים? 👇

ראש הממשלה סיפר בישיבת הממשלה על היוזמה שלו לצאת למבצע הביפרים בלבנון - והאשים את שרי הקבינט המצומצם בהתנגדות לכך: ""רציתי לצאת למבצע הביפרים, אמרו לי בקבינט: 'אל תעשה את זה, ארצות הברית תתנגד'. לא הקשבתי להם"" 

@michael_.shemesh @gilicohen10
צילום: Yonatan Sindel/Flash90",0,"11/10/2024 04:59",https://www.instagram.com/p/DCMRVvqqC2D/,"IG image",,Lifetime,72300,58895,2478,79,0,543,61
18068650213726608,17841407868310918,kan_news,"כאן חדשות","מזעזע: אביתר איים על נער אוטיסט - והניע אותו לבצע מעשים מיניים באחותו הקטנה 👇

אביתר סינה, חייל בן 21 מירושלים, הואשם בעבירות מין חמורות, אותן הוא ביצע באמצעות הרשתות החברתיות. 

על פי כתב האישום, בספטמבר האחרון אביתר יצר קשר עם קטין בן כ-15 על הרצף האוטיסטי באמצעות אפליקציות שונות, בעודו מתחזה לבחורה צעירה. במהלך ההתכתבות הוא איים על הצעיר והניע אותו לבצע מעשים מיניים באחותו הקטנה בת ה-13

@veredpelman
צילום: פלאש 90",0,"11/10/2024 04:30",https://www.instagram.com/p/DCMN_e1qaDX/,"IG image",,Lifetime,86825,66040,2212,604,3,149,117
18022166204531884,17841470312538363,kan_middleast,"כאן - המזרח התיכון","תיעוד נדיר מהארכיון של נסראללה אצל ח׳מינאי בטהראן. נסראללה מציג למנהיגה של איראן את בכירי חיזבאללה שחוסלו: שני רמטכ״לי הארגון לשעבר פואד שוכר ועימאד מורנייה, ואת מחליפו של מורנייה- מוסטפא בדר א-דין. ביניהם יושב קאסם סולימאני, מפקד כוח קודס לשעבר שחוסל. כלומר ח׳מינאי היחיד שנותר חי",20,"11/10/2024 02:36",https://www.instagram.com/reel/DCMAfN3N0qx/,"IG reel",,Lifetime,95978,49518,1013,216,54,1843,0
18054861637903182,17841407868310918,kan_news,"כאן חדשות","ההרשעה: יידוי אבנים וגרימת נזק ממניע גזעני 👇

ארבע שנים אחרי האירוע הטרגי בו נהרג אהוביה סנדק ז""ל במהלך מרדף משטרתי - ארבעת הנערים ששהו עמו ברכב הורשעו במסגרת הסדר טיעון ביידוי אבנים ובגרימת נזק ממניע גזעני. הפרקליטות צפויה לבקש מבית המשפט להטיל עליהם עבודות שירות. 

לפי כתב האישום, ארבעת הנאשמים נסעו ברכב עם אהוביה סמוך ליישוב כוכב השחר, כשלנהג לא היה רישיון. בשלב מסוים הם עצרו בצד הכביש, עלו על גבעה - והשליכו אבנים לכיוון רכב חולף. מיד אחר כך הם שבו לרכבם ונמלטו מהמקום.

אהוביה נהרג בזמן מרדף משטרתי לאחר שרכבו התהפך בעקבות התנגשות עם ניידת המשטרה. בינואר האחרון הוחלט לסגור את התיק נגד השוטרים שהיו מעורבים במרדף בשל חוסר אשמה

@veredpelman",0,"11/10/2024 02:35",https://www.instagram.com/p/DCMAxYDK0-d/,"IG image",,Lifetime,68669,52991,1752,31,0,72,57
18062967565695342,17841407868310918,kan_news,"כאן חדשות","תיעודים קשים מעזה: אנשי חמאס מענים אזרחים עזתים בחדרי חקירות

בתמונות שצולמו בשנים 2018 ו-2019 ופורסמו בידי דובר צה""ל, נראים אזרחים עזתים כשהם עוברים עינויים בידי אנשי חמאס בחדרי חקירות. האזרחים תועדו כשהם תלויים הפוכים מהתקרה ועם שקים על ראשיהם, בזמן שאנשי חמאס יושבים בנחת על כיסא או מכים אותם במקלות

@ramelibrandts @yoavborowitz @kan_middleast 
צילום: דובר צה""ל - מתוך הדיילי מייל",0,"11/10/2024 01:53",https://www.instagram.com/p/DCL8Ceiq6db/,"IG carousel",,Lifetime,91070,54736,2000,99,2,115,88
17971252376664173,17841464234747957,kan_reshetb,"כאן רשת ב","שרון שרעבי, אחיהם של יוסי ואלי שרעבי החטופים בעזה: “אני בטוח שנתניהו פועל להחזרת החטופים גם למען תדמיתו, הוא לא רוצה להיזכר בהיסטוריה כמי שהביא אסון גדול על מדינת ישראל”",0,"11/10/2024 01:28",https://www.instagram.com/p/DCL5MbiouGl/,"IG carousel",,Lifetime,60772,32022,1196,4,4,25,0
18001715795692328,17841407868310918,kan_news,"כאן חדשות","טירוף הקניות של חודש נובמבר מגיע השנה בהשתתפות בעלי עסקים שפונו מבתיהם או שירתו במילואים במהלך השנה. שמענו מהם על התקווה לשקם את העסק אחרי שנה בלתי אפשרית
@oferhalfono",198,"11/10/2024 01:23",https://www.instagram.com/reel/DCL4eFDS4qC/,"IG reel",,Lifetime,19080,13792,368,3,0,2,7
