month,count
2025-01,279
2025-02,272
2025-03,195
2025-04,223
2025-05,159
2025-06,221
2025-07,158
2025-08,156
2025-09,149
2025-10,186
2025-11,156
2025-12,182
2026-01,103
2026-02,154
2026-03,220
2026-04,221
2026-05,225
2026-06,193
2026-07,163
2026-08,69
