video_id,date,time,type,title,duration_sec,views,likes,comments,shares,whatsapp_shares,saves,downloads,total_engagement,engagement_rate,is_pinned,permalink,pulled_at,views_delta
7663479922958159124,2026-07-17,15:56,Video,הפסטיבל היחיד מסוגו בעולם (דני דגן),769,6100,131,7,3,2,10,2,151,2.48,0,https://www.tiktok.com/@kan_news/video/7663479922958159124,2026-07-24 08:31,62
7663589899827825941,2026-07-17,23:02,Video,"""הרגשה של נטישה"": כרם ונפתלי בני ה-18 רק רצו לחגוג את סיום התיכון בחופשה במונטנגרו יחד עם חבריהם, אבל ה!תקפו באלימות קשה אחרי שסיפרו שהם ישראלים - והשוטרים מהם ביקשו עזרה התעלמו מהם #גליקותמר @ifatglick1 (תמר אלמוג)",76,489495,26740,563,4014,1117,1201,204,32518,6.64,1,https://www.tiktok.com/@kan_news/video/7663589899827825941,2026-07-24 08:31,1075
7663196300753554709,2026-07-17,08:00,Video,"איציק סעידיאן הצית את עצמו מול אגף השיקום לפני חמש שנים - מאחורי המאבק של איציק, יש משפחה שמתמודדת גם היא עם הכאב @yaelciec",495,55502,2328,30,47,13,125,10,2530,4.56,0,https://www.tiktok.com/@kan_news/video/7663196300753554709,2026-07-23 08:36,673
7663483563924409620,2026-07-17,16:10,Video,שקיעה נוגה גם לכם ולבני ביתכם! #בואולאכולאיתי (עופר חלפון),241,54997,3095,41,319,39,114,7,3569,6.49,0,https://www.tiktok.com/@kan_news/video/7663483563924409620,2026-07-24 08:31,177
7663193557871693077,2026-07-16,21:24,Video,בצפון יש הפסקת אש אבל התיירות לא חזרה (רובי המרשלג),280,18889,388,12,26,8,29,4,455,2.41,0,https://www.tiktok.com/@kan_news/video/7663193557871693077,2026-07-23 08:36,118
7663099847884492053,2026-07-16,15:21,Video,"בני משפחת צורי, שליחי הסוכנות היהודית, שרדו את הפי@וע הרצ@ני באוסטרליה - וחזרו לארץ לגור בעוטף עזה @itsikzuarets",72,13698,379,5,3,0,16,3,403,2.94,0,https://www.tiktok.com/@kan_news/video/7663099847884492053,2026-07-23 08:36,118
7663174849342360853,2026-07-16,20:12,Video,"שלום כובש מכיר לעולם הערבי את היהדות, בסרטונים שהוא מעלה לרשת בשפה הערבית: ""למרות כל השנאה אלינו, יש גם הרבה מאוד סקרנות"" #בשכונהשלנו @elior_levy",121,34969,1123,30,25,2,102,16,1280,3.66,0,https://www.tiktok.com/@kan_news/video/7663174849342360853,2026-07-23 08:36,141
7663070723056880917,2026-07-16,13:28,Video,"דרעי תקף את הרמטכ""ל, שהתנגד לחוק לביטול מעצרי העריקים החרדים: ""הוא איבד את זה, מנסה לעזור לגוש השמאל"" @daniel.grovais 📸: באדיבות כיכר השבת",17,16363,347,134,19,6,18,11,518,3.17,0,https://www.tiktok.com/@kan_news/video/7663070723056880917,2026-07-23 08:36,192
7663196325420207381,2026-07-16,21:35,Video,במונדיאל הקודם הוא עדיין לא נולד: דין בן השלוש הצליח לחזות בדיוק מרשים את התוצאות של חצאי גמר המונדיאל #כאןבשש @kerenuzan1,32,416945,28990,387,1360,200,1132,85,31869,7.64,0,https://www.tiktok.com/@kan_news/video/7663196325420207381,2026-07-23 08:36,1155
7663148618324462868,2026-07-16,18:30,Video,שישה מנדטים חדשים: ארבעה שנתונים - בני 18 עד 22 - יצביעו בבחירות הקרובות בפעם הראשונה (ישראל רוזנר),64,57015,3985,177,94,20,94,8,4350,7.63,0,https://www.tiktok.com/@kan_news/video/7663148618324462868,2026-07-23 08:36,222
7663184224127700245,2026-07-16,20:48,Video,"אם לבן יחיד, שסירבה לחתום על הסכמה לכך שישרת בתפקיד קרבי, גילתה לתדהמתה שהוא עקף את המערכת והתגייס לשריון כ""חייל בודד"" #כאןבשש @kerenuzan1 (כרמלה מנשה)",35,150342,8572,163,248,44,255,18,9238,6.14,0,https://www.tiktok.com/@kan_news/video/7663184224127700245,2026-07-23 08:36,256
7663073442878770453,2026-07-16,13:38,Video,"זן חדש של קוף התגלה באפריקה. ""ליקוולי"" (או בשמו המדעי ""קולומבוס קונגואנסיס"") נחשב ביישן במיוחד 🐒 (יחזקאל קורנברג) 📸: ברנרד בוננגה, קרן לוקורו לחקר בעלי חיים",10,14779,443,26,51,7,22,2,542,3.67,0,https://www.tiktok.com/@kan_news/video/7663073442878770453,2026-07-23 08:36,216
7662846268049263893,2026-07-15,22:57,Video,המילואימניקים כועסים על החוק שעבר בכנסת  @yaelciec,177,47312,3375,196,254,26,148,30,3973,8.4,0,https://www.tiktok.com/@kan_news/video/7662846268049263893,2026-07-22 08:38,223
7662846000423243029,2026-07-15,22:56,Video,המשפחה ששרדה את הפיג!ע בסידני חזרה לארץ - לעוטף עזה @itsikzuarets,466,59210,4023,22,108,22,202,6,4355,7.36,0,https://www.tiktok.com/@kan_news/video/7662846000423243029,2026-07-22 08:38,300
7662678519754837269,2026-07-15,12:06,Video,רד אלינו זהרון: מסע הדיג של טורף העל שהגיע לחופי ישראל @ifatglick1,771,169353,6126,102,342,92,365,20,6935,4.09,0,https://www.tiktok.com/@kan_news/video/7662678519754837269,2026-07-22 08:38,574
7662761791885167892,2026-07-15,17:29,Video,"הוא יפה, ארסי וטורף כמעט כל מה שנקרה בדרכו. כך הפך המצוד אחר הזהרון, ""האויב מס' 1 של הים התיכון"", לסעודה בניצוחו של אייל שני @ifatglick1",55,168225,8418,113,331,58,282,13,9144,5.44,0,https://www.tiktok.com/@kan_news/video/7662761791885167892,2026-07-22 08:38,947
7662684035466005780,2026-07-15,12:27,Video,ג'פניקה הפכה לזירת קרב: הסכסוך של משפחות הפשע הוביל לאש  @hadasgrinberg,243,884990,22750,450,5164,1152,2294,509,30658,3.46,0,https://www.tiktok.com/@kan_news/video/7662684035466005780,2026-07-22 08:38,2039
7662844376657218836,2026-07-15,22:49,Video,התפתחות בפרשת הר@ח בירושלים: אלה שתי חשודות שנעצרו @haimgoldich,201,320395,19158,462,2035,488,1323,182,22978,7.17,0,https://www.tiktok.com/@kan_news/video/7662844376657218836,2026-07-22 08:38,4625
7662695003772194069,2026-07-15,13:10,Video,"92 קמ""ר של כוח צבאי, מטה ההגנה הגדול בעולם ומסר שלא ברור למי הוא מיועד. האם האוקטגון של א-סיסי הוא אזהרה לישראל, או בעיקר מופע כוח? @roikais1987 #בשכונה_שלנו",369,32404,818,23,44,23,75,6,960,2.96,0,https://www.tiktok.com/@kan_news/video/7662695003772194069,2026-07-22 08:38,217
7662825390431325460,2026-07-15,21:36,Video,"לפיד מבטיח: אם ניבחר, החרדים לא יקבלו שקל אחד מהמדינה - וכל הכסף שחולק יוחזר  (טלי מורנו)",37,13291,312,115,15,9,19,12,461,3.47,0,https://www.tiktok.com/@kan_news/video/7662825390431325460,2026-07-22 08:38,119
7662765749789920533,2026-07-15,17:44,Video,"יד האלוהים, מלחמת פוקלנד ונקמה על הדשא: רגע לפני הקרב הגדול הערב, למה ארגנטינה ואנגליה אף פעם לא נפגשות רק למשחק כדורגל? (יואב זהבי)",118,174524,10003,62,579,164,519,59,11163,6.4,0,https://www.tiktok.com/@kan_news/video/7662765749789920533,2026-07-22 08:38,228
7662842007538158869,2026-07-15,22:40,Video,פיצה עם מסאחן ושווארמה בלחם איטלקי: הדור החדש של השפים הערבים מביא למטבח האיטלקי את הטעמים מהבית  (עופר חלפון),362,6634,107,2,9,2,11,0,129,1.94,0,https://www.tiktok.com/@kan_news/video/7662842007538158869,2026-07-22 08:38,68
7662843708001357077,2026-07-15,22:47,Video,"תושבי השרון, ראיתם פעם חייזר? 👽 (אלון שרביט)",816,361149,17369,627,6045,942,2889,241,26930,7.46,0,https://www.tiktok.com/@kan_news/video/7662843708001357077,2026-07-22 08:38,1874
7662107550418078997,2026-07-14,08:00,Video,הסוכן אחמדינג׳אד בשירות המוסד? (גילי כהן) #איראן #סוד #צבא,215,51804,1162,23,158,53,128,33,1471,2.84,0,https://www.tiktok.com/@kan_news/video/7662107550418078997,2026-07-21 10:15,0
7662456545887669524,2026-07-14,21:44,Video,"מסי, אמבפה, קיין או למאל: מי יקחו את הנבחרת שלהם לגמר המונדיאל? @talberman",129,9911,103,5,2,0,4,1,114,1.15,0,https://www.tiktok.com/@kan_news/video/7662456545887669524,2026-07-21 10:21,0
7662261612945870087,2026-07-14,09:08,Video,"סתיו פינתה קורבנות מזירות הטבח ב-7 באוקטובר. המלחמה שלה התחילה אחר כך. כנהגת משאית במילואים בפיקוד העורף, היא נשלחה למשימה שאיש לא הכין אותה אליה, וחזרה הביתה אחרת. 🎧 ""עד הקצה"" עם קרן נויבך, הסכת האקטואליה החדש מבית כאן חדשות, זמין באתר וביישומון כאן ובכל יישומוני ההסכתים",43,11076,237,4,2,1,13,2,256,2.31,0,https://www.tiktok.com/@kan_news/video/7662261612945870087,2026-07-21 10:15,0
7662482327976627477,2026-07-14,23:25,Video,"האמת היא שזה 216 ק״ג, אם תעדיפו שנדקדק (דב גיל-הר)",166,127622,2238,27,485,144,172,79,2922,2.29,0,https://www.tiktok.com/@kan_news/video/7662482327976627477,2026-07-21 10:21,0
7662341823620205844,2026-07-14,14:19,Video,"אימו של בניהו רזי ז""ל, שנר@ח בירושלים, מספרת על התלונות על בת הזוג לשעבר @haimgoldich",33,449811,33179,625,1535,287,1403,119,36742,8.17,0,https://www.tiktok.com/@kan_news/video/7662341823620205844,2026-07-21 10:21,12
7662460381830401301,2026-07-14,21:59,Video,אוהדים שרופים? תיזהרו לא לקחת ללב #מונדיאל #ארגנטינה #כדורגל  (נוב ראובני),65,12027,426,13,55,17,17,4,511,4.25,0,https://www.tiktok.com/@kan_news/video/7662460381830401301,2026-07-21 10:21,0
7661925092376464660,2026-07-13,11:22,Video,"פרטים חדשים על הר3ח המזעזע בנחלאות: בן 19 נר3ח, וחברו הטוב נפצע - ולפי החשד, בנות הזוג של השניים, הזמינו את ההתנקש!ת, אחרי שסבלו מאלימ!ת קשה מצד השניים @haimgoldich",173,371725,17506,276,2161,353,1371,197,21314,5.73,0,https://www.tiktok.com/@kan_news/video/7661925092376464660,2026-07-21 10:15,0
7662106995947818260,2026-07-13,23:08,Video,״הכתובת היתה על הקיר״: הפרטים החדשים שחושפת משפחתו של בניהו רזי ז״ל,246,804170,51866,1306,4100,776,3135,391,60407,7.51,0,https://www.tiktok.com/@kan_news/video/7662106995947818260,2026-07-21 10:15,0
7661779548710735124,2026-07-13,01:57,Video,"""היה חבר גדול של ישראל"": הסנאטור הרפובליקני לינדזי גרהאם הלך לעולמו בגיל 71 (נתן גוטמן)",238,36660,1239,51,12,5,40,9,1342,3.66,0,https://www.tiktok.com/@kan_news/video/7661779548710735124,2026-07-21 10:15,0
7661626019027143956,2026-07-12,16:02,Video,"אחרי שצוות CNN טען שהותקף על ידי פורעים יהודים - תיעוד מתוך האירוע התפרסם ברשתות. לפי הודעת המשטרה, כוחות צה""ל קפצו לנקודה ועיכבו ארבעה חשודים במעורבות באירוע. שוטרי תחנת בנימין עצרו את החשודים, גבו עדויות מאנשי התקשורת ומצאו בחיפוש שנערך ברכב אלות, גז פלפל וסכין צילום: jasper nathaniel / X @haimgoldich",45,2970906,41765,801,6253,400,5246,363,54065,1.82,1,https://www.tiktok.com/@kan_news/video/7661626019027143956,2026-07-21 10:15,0
7661551553823689992,2026-07-12,11:13,Video,"20 שנה אחרי מלחמת לבנון השנייה, תושבי הצפון עדיין חיים בין אזעקות, פינויים ותחושת הפקרה. קרן נויבך ורובי המרשלג @rubihammerschlag חוזרים לגבול, לארכיון של 2006 ולשאלה אם למדינה יש חזון לעתיד הצפון. ""עד הקצה"", הסכת האקטואליה החדש מבית כאן חדשות, זמין באתר וביישומון כאן ובכל יישומוני ההסכתים.",48,20593,605,2,8,3,39,4,654,3.18,0,https://www.tiktok.com/@kan_news/video/7661551553823689992,2026-07-21 10:15,0
7661682330708282645,2026-07-12,19:40,Video,"""חוויה בלתי נשכחת, גיליתי אותם מחדש"": גלית, המתמודדת עם שיתוק מוחין, הצטרפה לטיול אחרי צבא של ארבעת בניה #כאןבשלוש (יונתן אוחיון)",65,664613,66242,1342,3848,408,1588,155,73020,10.99,0,https://www.tiktok.com/@kan_news/video/7661682330708282645,2026-07-21 10:15,0
