story_id,date,time,type,views,reach,replies,shares,total_interactions,profile_visits,follows,taps_forward,taps_back,swipes_forward,exits,exit_rate,permalink,pulled_at
18131365849617522,2026-08-06,13:54,VIDEO,6727,5878,8,2,62,1,0,5316,344,112,158,4,https://www.instagram.com/stories/kan_news/3957691882838069769,2026-08-07 08:38
17958517326178782,2026-08-06,13:36,VIDEO,9031,7552,5,13,41,16,0,6041,237,859,528,15.4,https://www.instagram.com/stories/kan_news/3957682732141809798,2026-08-07 08:38
18060879623767734,2026-08-06,13:52,IMAGE,7326,6264,9,1,43,3,0,5987,489,162,124,3.9,https://www.instagram.com/stories/kan_news/3957690884988590434,2026-08-07 08:38
18094724006066235,2026-08-06,13:53,IMAGE,7707,6027,2,0,17,2,0,5951,660,107,156,3.4,https://www.instagram.com/stories/kan_news/3957691561613613214,2026-08-07 08:38
17937329535351292,2026-08-06,13:50,IMAGE,8161,6928,16,4,56,2,0,6002,413,416,212,7.7,https://www.instagram.com/stories/kan_news/3957689837989561237,2026-08-07 08:38
18065078675755328,2026-08-06,20:43,IMAGE,5444,4150,3,1,17,2,1,3915,337,79,196,5.1,https://www.instagram.com/stories/kan_news/3957897856987746434,2026-08-07 08:37
18101532506337760,2026-08-06,17:32,VIDEO,6553,5127,8,4,20,1,0,3856,573,140,150,4.4,https://www.instagram.com/stories/kan_news/3957801880775733829,2026-08-07 08:37
18046177718597986,2026-08-06,19:02,IMAGE,6248,4646,2,0,9,0,0,4608,704,79,145,3.6,https://www.instagram.com/stories/kan_news/3957846804347461801,2026-08-07 08:37
18111180577769951,2026-08-06,19:01,IMAGE,6133,4800,1,0,9,0,0,3940,259,123,146,4.4,https://www.instagram.com/stories/kan_news/3957846636642263416,2026-08-07 08:37
18112168612974046,2026-08-06,17:32,VIDEO,6125,5047,6,2,67,5,0,4362,505,142,265,6.6,https://www.instagram.com/stories/kan_news/3957801944462024293,2026-08-07 08:37
17943929937057708,2026-08-06,20:52,VIDEO,5215,4316,3,1,36,2,0,3539,401,84,217,5.8,https://www.instagram.com/stories/kan_news/3957902132744726986,2026-08-07 08:37
18077416970449654,2026-08-06,19:02,IMAGE,5939,4550,0,0,11,0,0,4225,503,92,154,4.1,https://www.instagram.com/stories/kan_news/3957846956541992139,2026-08-07 08:37
18129115897643645,2026-08-06,14:22,IMAGE,7584,6099,1,3,35,4,0,4879,209,196,345,7.1,https://www.instagram.com/stories/kan_news/3957706009749307462,2026-08-07 08:37
18210326053349526,2026-08-06,19:50,VIDEO,5864,4597,9,1,42,1,0,3728,545,85,204,4.9,https://www.instagram.com/stories/kan_news/3957870953639324990,2026-08-07 08:37
18350858254216932,2026-08-05,19:35,IMAGE,6757,5597,1,0,9,1,0,4613,215,228,229,6.8,https://www.instagram.com/stories/kan_news/3957138983477824564,2026-08-06 08:43
17979882555113342,2026-08-05,21:25,IMAGE,6043,4710,1,0,14,2,0,4061,427,166,252,6.9,https://www.instagram.com/stories/kan_news/3957194053414075790,2026-08-06 08:43
17964797955141509,2026-08-05,22:26,VIDEO,5051,4200,2,1,9,6,0,3817,342,135,211,6.9,https://www.instagram.com/stories/kan_news/3957225056677049560,2026-08-06 08:42
