video_id,date,type,title,duration_sec,views,likes,comments
3I-30ZBdu7s,2025-01-18,Regular,התנפל עם סכין על הסועדים וחוסל בידי אזרח: פיגוע בתל אביב,182,27907,352,107
WkLIH7DkePA,2025-01-18,Regular,עיצב את התרבות הישראלית: פרידה מהשחקן האגדי זאב רווח,526,137860,1832,232
CkzvMgRzUWg,2025-01-18,Regular,הפתקים שהכריעו את עסקת החטופים: מי התנגד - ומי נעדר מההצבעה?,120,13230,88,39
WtCS6vwM5HU,2025-01-18,Shorts,בלי מרגרינה ובלי צרבת: שאול מצא את הבורקס המושלם,28,156026,1679,34
V06EDmxRe4g,2025-01-18,Regular,בקיבוץ ניר עוז לא מאמינים לשום הכרזה - עד שלא יראו את כולם בבית,892,13951,125,34
y-a7APTDukg,2025-01-18,Regular,"מאיה פודר ז""ל נרצחה בנובה – אילון הנציח את הצחוק שלה 💔",100,108577,4747,53
GyZLWpEY4kE,2025-01-17,Regular,ירידה בטמפרטורות | התחזית 17.01.25,81,1958,26,6
OEEEq0eXnHc,2025-01-17,Regular,סיבה למסיבה חוגגת 40: מהו סוד הקסם של תוכנית האירוח המצליחה בארץ?,1430,10493,153,29
bntApX-vQOs,2025-01-17,Shorts,החברות של לירי אלבג מחכות לחזרתה🎗️❤️,44,165441,5315,44
hiagSZtbxpI,2025-01-17,Regular,"""בסך הכול רוצה קבר"": אביו של גיא אילוז ז""ל נלחם על השבת גופתו מעזה",470,2242,28,2
Cd7GoUMVAhc,2025-01-17,Regular,מתקשים לשמוח: כך התקבלה הבשורה על עסקת חטופים במאהל המחאה מול הכנסת,376,11040,103,22
a1i-famnkFE,2025-01-17,Regular,מדינה שלמה מחכה להן: הורי התצפיתניות מסכמים 469 ימי מאבק,98,14398,180,32
_XuJSNu38zs,2025-01-16,Regular,אפשר לעשות את זה ב-4 דקות: למה הקואליציה מתעכבת עם התקציב?,97,12706,388,46
ozTAt161z8Y,2025-01-16,Regular,זה אחלה שוק! אחלה ישראל! - המהפכה של שוק לוינסקי כבר כאן | מקורב לצלחת,615,116542,1038,61
lBQW3_Sa3SM,2025-01-16,Regular,200 אחוזי תפוסה: השפעת בשיאה - ובתי החולים לא עומדים בעומס,494,23146,201,81
3Nnlss3Eij4,2025-01-16,Regular,מחכים לחטופים: הצצה למתחמים המבודדים שהוקמו בבתי החולים,157,37834,398,47
sKiHtCUGX4E,2025-01-16,Regular,המשפחות השכולות ומשפחות החטופים שחוששות ממחיר שחרור המחבלים,185,24557,306,141
IMyPd92_3kw,2025-01-15,Regular,התחזית 15.01.25 | ירידה בטמפרטורות - אך עדיין חם מהרגיל,90,3250,23,2
qnall_EbwlI,2025-01-15,Regular,תופעה מדאיגה: גל פריצות לבתי המפונים בצפון,168,8506,102,26
djieqKrQjCk,2025-01-15,Regular,"מלונות נסגרים, מאות עובדים הולכים הביתה: המשבר בענף המלונאות",397,82542,546,390
MFY5VOqN_uQ,2025-01-15,Regular,"עינב צנגאוקר: ""העם כל כך זקוק לחזרת כל החטופים ולסיום המלחמה""",137,20300,535,43
qxgVjPJAW34,2025-01-15,Regular,במתחם ייעודי עם צוות טיפול נפשי: כך נערכים בתי החולים לחזרת החטופים,146,10252,93,11
vVLVvYAZ0zQ,2025-01-15,Regular,"""כל המציל נפש אחת כאילו הציל עולם ומלואו"": הנשיא הרצוג מתייחס לעסקה",466,48816,279,431
WZDnugR1Ohs,2025-01-15,Regular,ההכנות להשבעת טראמפ בשיאן - מי יגיע ומי יבריז?,179,34719,331,45
4XLg6QgiQdc,2025-01-15,Regular,"""התאכזבנו הרבה פעמים"": משפחתה של דורון שטיינברכר מחכה לה בבית",530,35742,234,44
Ld43I_XkH54,2025-01-15,Regular,האם בן גביר וסמוטריץ׳ ייפרשו מהממשלה בעקבות העסקה?,116,19837,150,108
iHTemvbqLSE,2025-01-14,Regular,התחזית 14.1.25 | חורף חם: הטמפרטורות ממשיכות לעלות,96,2322,26,8
aisR0Z_biDU,2025-01-14,Regular,הופרדו (לא) בלידתן: תאומות סיאמיות הופרדו בהצלחה,131,16998,154,9
3vk-KNpEdpo,2025-01-14,Regular,שמונה חדרים מתחת לאדמה: המזבח הנדיר שהתגלה בירושלים,193,78309,865,145
VqopcwCtWAo,2025-01-14,Regular,תחקיר: למה המדינה נותנת לטייקונים אוצרות טבע בשווי מיליארדי שקלים?,634,63364,1016,191
0a3hY5cloRM,2025-01-14,Regular,החברות של לירי אלבג מחכות לה: השיחות האחרונות והתיעוד מהמיגונית,548,43818,475,27
8o8HPXHQ-fg,2025-01-14,Regular,שתי עבירות אונס ומעשה סדום: כתב האישום נגד הזמר מושיקו מור,184,86940,563,250
