תאריך,שעה,וידאו,סוג מדיה,טקסט הציוץ,קישור,צפיות,לייקים,ריטוויטים,תגובות,שיעור מעורבות %,מקור,tweet_id
2026-06-18,19:36,כן,Video,"משחק השלום של פיפא: האם עוד נראה את נבחרת הנוער הישראלית במשחק מול הנבחרת הפלסטינית? התאחדות הכדורגל הישראלית בעד, ובצד הפלסטיני בינתיים סירבו. האם נשיא פיפ""א יצליח לשכנע את ג'יבריל רג'וב העומד בראש התאחדות הכדורגל הפלסטינית? @YoavBorowitz @eliorlevy #בשכונהשלנו",https://x.com/kann_news/status/2067647703102693491,3370,7,2,1,0.3,advanced_search,2067647703102693491
2026-06-19,13:07,לא,Text,"במהלך המונדיאל: בית המשפ בצרפת הודיע כי כדורגלן נבחרת מרוקו ופ.ס.ז' אשרף חכימי יעמוד לדין בגין אונס. ""חיכיתי למשפט הזה, סוף סוף אוכל לדבר"", אמר  @ishayb2003",https://x.com/kann_news/status/2067912026517635407,3308,7,0,1,0.24,advanced_search,2067912026517635407
2026-06-19,18:11,כן,Video,תומר הישראלי מוביל את אוהדי ברזיל: שליחת כאן חדשות למונדיאל 2026 @AnnaPines_ מספרת על המפגש המפתיע במופע העידוד של הנבחרת הדרום האמריקנית  #גליקותמרבשישי @almog_tamar  @ifatglick,https://x.com/kann_news/status/2067988754476789796,4937,2,0,0,0.04,advanced_search,2067988754476789796
2026-06-20,11:00,לא,Text,"לנוכח התמונות הויראליות של אוהדים יפנים במונדיאל מנקים את האצטדיון בתום המשחק - האם זה יכול לקרות אצלנו? מנכ""ל בלומפילד בריאיון לתוכנית ""כאן בסביבה"" התקשה להאמין: ""לא רואה את זה מתקיים אצלנו בדורות הבאים""  כאן חדשות ברשת ב'🎙️#כאןבסביבה  @urildorl @WexlerSharon",https://x.com/kann_news/status/2068242640731083158,4141,12,1,6,0.46,advanced_search,2068242640731083158
2026-06-22,03:19,לא,Text,"מונדיאל 2026: כף ורדה ממשיכה להפתיע ומסיימת בתיקו 2:2 נגד אורוגוואי, כשאת אחד הגולים הליו וארלה ממכבי תל אביב מבקיע. וארלה הוא השחקן הזר הראשון שמשחק בישראל שמבקיע שער במונדיאל בזמן שהוא עדיין משחק בארץ  @YoavBorowitz",https://x.com/kann_news/status/2068851251119337717,3945,8,1,0,0.23,גיליון,2068851251119337717
2026-06-22,05:37,כן,Video,"מונדיאל 2026 | אוהדים איראנים משתפים תסכול לנוכח האיסור של פיפ""א על הנפת דגל איראן של השאה: ""זה נגד חופש הביטוי""   @idogur",https://x.com/kann_news/status/2068885956409651371,5741,22,2,2,0.47,גיליון,2068885956409651371
2026-06-22,19:35,כן,Video,מאה מיליון פרעונים חוגגים: נבחרת מצרים ומוחמד סלאח רשמו ניצחון ראשון במונדיאל - וגם א-סיסי לא נשאר אדיש  #העולם_היום @kaisos1987 @Yoav__Zehavi @michalresh,https://x.com/kann_news/status/2069097022645215329,6005,7,3,1,0.18,גיליון,2069097022645215329
2026-06-23,02:27,לא,Text,RT @kann: עד שיתבהרו הדברים (והשמיים) המשחק נדחה  נחזור לשידור בכאן 11 וכאן BOX עם חידוש המשחק #fifaworldcup #כאן_מונדיאל @talberman https:…,https://x.com/kann_news/status/2069200703030022583,1442,0,1,0,0.07,גיליון,2069200703030022583
2026-06-24,17:41,לא,Text,פרסום ראשון: במנהלת הליגות בכדורגל שוקלים לאמץ את הפסקות השתייה במונדיאל - כבר בעונה הקרובה  https://www.kan.org.il/content/kan-news/sport/1062428/  כאן חדשות ברשת ב'🎙️| #צבעהכסף @YoavBorowitz,https://x.com/kann_news/status/2069793159609983327,51473,20,1,21,0.13,גיליון,2069793159609983327
2026-06-24,22:27,כן,Video,"מחר במהדורת כאן חדשות | מהפכת השיזוף - ואזהרת הרופאים, וגם: טירוף מדונה מגיע למונדיאל  @talberman",https://x.com/kann_news/status/2069865050970411310,10155,5,1,1,0.07,גיליון,2069865050970411310
